gene_id,regulation,is_biomin
Peve_00028780,lncRNA_only,False
Peve_00026410,lncRNA_only,False
Peve_00037418,lncRNA_only,False
Peve_00036197,lncRNA_only,False
Peve_00032254,lncRNA_only,False
Peve_00031158,lncRNA_only,False
Peve_00014343,lncRNA_only,False
Peve_00025847,lncRNA_only,False
Peve_00002592,lncRNA_only,False
Peve_00038388,lncRNA_only,False
Peve_00039263,lncRNA_only,False
Peve_00039888,lncRNA_only,True
Peve_00018160,lncRNA_only,False
Peve_00034550,lncRNA_only,False
Peve_00017636,lncRNA_only,False
Peve_00000811,lncRNA_only,False
Peve_00037694,lncRNA_only,False
Peve_00024137,lncRNA_only,False
Peve_00031969,lncRNA_only,False
Peve_00030373,lncRNA_only,False
Peve_00031491,lncRNA_only,False
Peve_00037877,lncRNA_only,False
Peve_00041586,lncRNA_only,False
Peve_00012755,lncRNA_only,False
Peve_00015430,lncRNA_only,False
Peve_00043182,lncRNA_only,False
Peve_00031586,lncRNA_only,False
Peve_00020364,lncRNA_only,False
Peve_00008381,lncRNA_only,False
Peve_00030496,lncRNA_only,False
Peve_00020080,lncRNA_only,False
Peve_00037341,lncRNA_only,False
Peve_00031141,lncRNA_only,False
Peve_00007226,lncRNA_only,False
Peve_00003588,lncRNA_only,False
Peve_00011266,lncRNA_only,False
Peve_00023366,lncRNA_only,False
Peve_00023456,lncRNA_only,False
Peve_00037570,lncRNA_only,False
Peve_00028582,lncRNA_only,False
Peve_00023292,lncRNA_only,False
Peve_00023731,lncRNA_only,False
Peve_00035074,lncRNA_only,False
