feature,id,pval,qval
exon,98408,3.260191716591976e-8,1.4653598298482345e-5
exon,204575,3.255793745715607e-8,1.4653598298482345e-5
exon,41807,3.2771649505214384e-8,1.4666505974970973e-5
exon,60460,3.281568994317752e-8,1.4666505974970973e-5
exon,61540,3.298531880968625e-8,1.4693611126689508e-5
exon,79760,3.302714546293828e-8,1.4693611126689508e-5
exon,84157,3.3133336074797626e-8,1.4707276539588529e-5
exon,1080,3.3307481994704347e-8,1.4750975389581972e-5
exon,183334,3.3600076276840696e-8,1.4846814656712664e-5
exon,201252,3.3800419685370287e-8,1.4901549732058813e-5
exon,163428,3.3922393227747705e-8,1.4921564862148597e-5
exon,116186,3.415246896398827e-8,1.495916971856779e-5
exon,148135,3.4238185064872084e-8,1.495916971856779e-5
exon,151156,3.421417571480845e-8,1.495916971856779e-5
exon,132380,3.457772601578313e-8,1.5073722600312222e-5
exon,23006,3.5168556511422366e-8,1.5237362183554301e-5
exon,83660,3.5063462688889047e-8,1.5237362183554301e-5
exon,159263,3.5187684654935936e-8,1.5237362183554301e-5
exon,103660,3.535530690434996e-8,1.5242204700462944e-5
exon,165184,3.5312847979085404e-8,1.5242204700462944e-5
exon,19100,3.555313743408561e-8,1.5244643246497847e-5
exon,21336,3.5717798940737566e-8,1.5244643246497847e-5
exon,87781,3.570626949667144e-8,1.5244643246497847e-5
exon,115119,3.575212437212372e-8,1.5244643246497847e-5
exon,204831,3.5722329538856457e-8,1.5244643246497847e-5
exon,37783,3.6521794144483977e-8,1.545334971165147e-5
exon,134795,3.650109070552077e-8,1.545334971165147e-5
exon,147792,3.6350671583917915e-8,1.545334971165147e-5
exon,179570,3.6558801097541505e-8,1.545334971165147e-5
exon,54588,3.729625841497608e-8,1.5645025959672976e-5
exon,70865,3.728591635443479e-8,1.5645025959672976e-5
exon,134652,3.7333407254536155e-8,1.5645025959672976e-5
exon,155596,3.720589658584572e-8,1.5645025959672976e-5
exon,155599,3.7759496196443365e-8,1.578962761120974e-5
exon,8483,3.811275295362293e-8,1.5869238229817902e-5
exon,168516,3.8048811989987996e-8,1.5869238229817902e-5
exon,55138,3.837189122002371e-8,1.59169071042841e-5
